"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9171","Reset App State","","Tue Feb 04 13:51:38 BDT 2025","passed","Tue Feb 04 13:51:47 BDT 2025","","Purchase Journey with standard user","",""
"","3486","Add the First Product To Cart","","Tue Feb 04 13:52:42 BDT 2025","passed","Tue Feb 04 13:52:45 BDT 2025","","Purchase With Glitch User","",""
"","217","Verifying Product Names in Cart Page","","Tue Feb 04 13:51:59 BDT 2025","passed","Tue Feb 04 13:52:00 BDT 2025","","Purchase Journey with standard user","",""
"","1396","Login with standard user","","Tue Feb 04 13:51:36 BDT 2025","passed","Tue Feb 04 13:51:38 BDT 2025","","Purchase Journey with standard user","",""
"","2414","Verifying Grand Total Price","","Tue Feb 04 13:52:00 BDT 2025","passed","Tue Feb 04 13:52:02 BDT 2025","","Purchase Journey with standard user","",""
"","104","Verifying Product Names in Cart","","Tue Feb 04 13:52:53 BDT 2025","passed","Tue Feb 04 13:52:53 BDT 2025","","Purchase With Glitch User","",""
"","78","Verifying Successful Order Message","","Tue Feb 04 13:52:54 BDT 2025","passed","Tue Feb 04 13:52:55 BDT 2025","","Purchase With Glitch User","",""
"","6895","Reset App State and Log Out","","Tue Feb 04 13:52:55 BDT 2025","passed","Tue Feb 04 13:53:01 BDT 2025","","Purchase With Glitch User","",""
"","2319","LogIn with locked user","","Tue Feb 04 13:51:21 BDT 2025","passed","Tue Feb 04 13:51:23 BDT 2025","","Login with invalid credentials","",""
"","8535","Navigate to the Checkout Page","","Tue Feb 04 13:51:51 BDT 2025","passed","Tue Feb 04 13:51:59 BDT 2025","","Purchase Journey with standard user","",""
"","7751","Navigate to the checkOut Page","","Tue Feb 04 13:52:45 BDT 2025","passed","Tue Feb 04 13:52:53 BDT 2025","","Purchase With Glitch User","",""
"","6975","Reset App State and Log Out","","Tue Feb 04 13:52:02 BDT 2025","passed","Tue Feb 04 13:52:09 BDT 2025","","Purchase Journey with standard user","",""
"","6159","Login with glitch user","","Tue Feb 04 13:52:21 BDT 2025","passed","Tue Feb 04 13:52:27 BDT 2025","","Purchase With Glitch User","",""
"","1443","Verifying Total Price in Cart","","Tue Feb 04 13:52:53 BDT 2025","passed","Tue Feb 04 13:52:54 BDT 2025","","Purchase With Glitch User","",""
"","74","Verifying Error Message","","Tue Feb 04 13:51:23 BDT 2025","passed","Tue Feb 04 13:51:24 BDT 2025","","Login with invalid credentials","",""
"","4055","Add Product To Cart","","Tue Feb 04 13:51:47 BDT 2025","passed","Tue Feb 04 13:51:51 BDT 2025","","Purchase Journey with standard user","",""
"","8787","Reset App State","","Tue Feb 04 13:52:27 BDT 2025","passed","Tue Feb 04 13:52:36 BDT 2025","","Purchase With Glitch User","",""
"","77","Verifying Successful Order Message","","Tue Feb 04 13:52:02 BDT 2025","passed","Tue Feb 04 13:52:02 BDT 2025","","Purchase Journey with standard user","",""
"","5500","Filter by Name","","Tue Feb 04 13:52:36 BDT 2025","passed","Tue Feb 04 13:52:42 BDT 2025","","Purchase With Glitch User","",""
